开始日期,结束日期,广告组合名称,货币,广告活动名称,广告组名称,零售商,投放,匹配类型,客户搜索词,展示量,点击量,点击率,每次点击成本,花费,七天总销售额,广告投入产出比总计,总广告投资回报率,七天总订单数,七天总销售量,七天的转化率,七天内单个商品广告销售量,七天内其他单个商品销售量,七天内广告单个产品销售额,七天内其他单个产品销售额
2025-05-07,2025/5/7,Escutcheon,USD,"1/2"" white escutcheon Auto",12 Pack,Amazon,*,BROAD,b0dr757ynr,1,1,1,0.13,0.13,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/18,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,fire sprinkler escutcheons rings,EXACT,fire sprinkler escutcheon ring,9,2,0.222222222,0.6,1.2,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Guard G06W,USD,Guard FSG06W Auto,FSG06W04,Amazon,*,BROAD,b0d17nsj7m,3,1,0.333333333,0.17,0.17,0,,0,0,0,0,0,0,0,0
2025-05-26,2025/5/27,Adapter,USD,Adapter Key Words,BHA2520,Amazon,fire hose adapter,PHRASE,"fire hose adapter: 2 in_2 1/2 in compatible pipe size, npt x nst, straight, brass",4,2,0.5,0.45,0.9,0,,0,0,0,0,0,0,0,0
2025-05-24,2025/5/24,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b00gradpwm,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-04,2025/5/4,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b00gradqe4,12,2,0.166666667,0.07,0.14,0,,0,0,0,0,0,0,0,0
2025-05-11,2025/5/20,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b00lorim9o,3,2,0.666666667,0.07,0.14,0,,0,0,0,0,0,0,0,0
2025-05-12,2025/5/12,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b00lorj04u,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b00m0udevu,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-26,2025/5/26,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b01mz3tgmg,1,1,1,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/28,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b07f3tjdkn,9,3,0.333333333,0.07,0.21,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/26,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b07g9l7rzn,6,2,0.333333333,0.07,0.14,0,,0,0,0,0,0,0,0,0
2025-05-11,2025/5/11,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b07nkh5ydy,4,1,0.25,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-24,2025/5/24,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b07x4b9qdq,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/8,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b082yf76w4,33,4,0.121212121,0.07,0.28,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b08zk4h4mr,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/7,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0959my28t,2,1,0.5,0.06,0.06,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b09jckrqws,1,1,1,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/6,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b09jcls3bs,1,1,1,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/20,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0bgjh6cfs,9,3,0.333333333,0.07,0.21,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/3,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0bqp97g31,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-04,2025/5/15,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0byyfptns,17,3,0.176470588,0.07,0.21,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/19,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0cc6y57c6,54,7,0.12962963,0.064285714,0.45,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/27,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0cc6zqc2z,958,15,0.01565762,0.066,0.99,0,,0,0,0,0,0,0,0,0
2025-05-19,2025/5/19,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0cchcpmn1,2,1,0.5,0.05,0.05,0,,0,0,0,0,0,0,0,0
2025-05-22,2025/5/22,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0cp35dw5t,6,1,0.166666667,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0cvnp8gtj,1,1,1,0.07,0.07,22.27,0.31%,318.14,1,1,1,1,0,22.27,0
2025-05-03,2025/5/5,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0d1qsmhzb,21,2,0.095238095,0.07,0.14,0,,0,0,0,0,0,0,0,0
2025-05-27,2025/5/27,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0d31yqllz,11,1,0.090909091,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-11,2025/5/11,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0d3gddqr2,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0d6bjbj46,2,1,0.5,0.05,0.05,0,,0,0,0,0,0,0,0,0
2025-05-02,2025/5/13,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0d6g6mrj6,6,2,0.333333333,0.055,0.11,0,,0,0,0,0,0,0,0,0
2025-05-04,2025/5/8,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0d9lf9z7b,10,3,0.3,0.063333333,0.19,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0d9wmcrlf,1,1,1,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-25,2025/5/25,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0dlfvx24s,3,1,0.333333333,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0dpd3j9nz,2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-22,2025/5/23,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0dywcxbkc,2,2,1,0.055,0.11,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,6 Pack,Amazon,*,BROAD,b0f13g7hvr,3,1,0.333333333,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-15,2025/5/15,Escutcheon,USD,3/4 Chrome Escutcheon Automatic,2 Pack,Amazon,*,BROAD,3/4 ips escutcheon,1,1,1,0.04,0.04,0,,0,0,0,0,0,0,0,0
2025-05-28,2025/5/28,Guard G04C,USD,Guard G04C Words Exact 1,Fire sprinkler head+长尾词,Amazon,fire sprinkler head guard,EXACT,fire sprinkler head guard,1,1,1,1.44,1.44,0,,0,0,0,0,0,0,0,0
2025-05-09,2025/5/9,Guard G02R,USD,Guard FSG02R Automatic,10 Pack,Amazon,*,BROAD,b08lpdhjgq,3,1,0.333333333,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/13,Guard G06W,USD,Guard G06W Words Exact 2,词根词短sprinkler+,Amazon,sprinkler guard,EXACT,sprinkler guard,4,1,0.25,1.57,1.57,0,,0,0,0,0,0,0,0,0
2025-05-24,2025/5/24,Guard G06W,USD,Guard G06W Words Exact 2,词根词短sprinkler+,Amazon,sprinkler protector,EXACT,sprinkler protectors,2,1,0.5,0.87,0.87,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Guard G06W,USD,Guard G06W Words Exact 2,词根词短sprinkler+,Amazon,sprinkler cover,EXACT,sprinkler cover,5,1,0.2,1.35,1.35,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Guard G06W,USD,Guard G06W Words Exact 2,词根词短sprinkler+,Amazon,sprinkler shield,EXACT,sprinkler shields,9,1,0.111111111,1.57,1.57,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Guard G02R,USD,Guard G02R Words Exact 2,词根词短sprinkler+,Amazon,sprinkler guard,EXACT,sprinkler guard,2,1,0.5,1.05,1.05,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/16,Guard G02R,USD,Guard G02R Words Exact 2,词根词短sprinkler+,Amazon,sprinkler cage,EXACT,sprinkler cage,1,1,1,1.05,1.05,0,,0,0,0,0,0,0,0,0
2025-05-02,2025/5/27,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C02,Amazon,fire sprinkler escutcheon,EXACT,fire sprinkler escutcheon,91,6,0.065934066,1.285,7.71,0,,0,0,0,0,0,0,0,0
2025-05-19,2025/5/19,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,sprinkler head ring,EXACT,sprinkler head rings,6,1,0.166666667,0.66,0.66,0,,0,0,0,0,0,0,0,0
2025-05-28,2025/5/28,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,sprinkler ring,EXACT,sprinkler rings,2,1,0.5,0.75,0.75,34.82,2.15%,46.43,1,1,1,0,1,0,34.82
2025-05-14,2025/5/14,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,sprinkler head trim,EXACT,sprinkler head trim,2,1,0.5,0.52,0.52,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/13,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,sprinkler escutcheon plate,EXACT,sprinkler escutcheon plate,2,1,0.5,0.6,0.6,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/3,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,escutcheon plate fire sprinkler,EXACT,escutcheon plate for fire sprinkler,2,1,0.5,0.54,0.54,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/29,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,fire sprinkler escutcheon,EXACT,fire sprinkler escutcheon,45,2,0.044444444,1.2,2.4,92.34,2.60%,38.48,2,3,1,3,0,92.34,0
2025-05-22,2025/5/22,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,fire sprinkler escutcheon,EXACT,fire sprinkler escutcheons,21,1,0.047619048,0.8,0.8,0,,0,0,0,0,0,0,0,0
2025-05-09,2025/5/9,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,sprinkler head ring,EXACT,sprinkler head rings,5,1,0.2,0.81,0.81,33.24,2.44%,41.04,1,1,1,1,0,33.24,0
2025-05-06,2025/5/6,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,sprinkler head escutcheon ring,EXACT,sprinkler head escutcheon ring,8,1,0.125,1.12,1.12,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEC02 SEC12 SEC06 Phrase,Amazon,sprinkler head ring,EXACT,sprinkler head ring,1,1,1,0.54,0.54,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/28,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词短sprinkler+,Amazon,sprinkler protector,EXACT,sprinkler protector,735,18,0.024489796,1.197222222,21.55,16.07,134.10%,0.75,1,1,0.055555556,0,1,0,16.07
2025-05-11,2025/5/24,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词短sprinkler+,Amazon,sprinkler protector,EXACT,sprinkler protectors,43,4,0.093023256,1.3,5.2,0,,0,0,0,0,0,0,0,0
2025-05-09,2025/5/9,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词短sprinkler+,Amazon,sprinkler protector,EXACT,sprinklers protector,9,1,0.111111111,1.16,1.16,0,,0,0,0,0,0,0,0,0
2025-05-10,2025/5/28,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词短sprinkler+,Amazon,sprinkler cover,EXACT,sprinkler cover,43,2,0.046511628,1.125,2.25,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/6,Escutcheon,USD,White Escutcheon Manual Exact 1/2,SE2W06,Amazon,sprinkler head escutcheon,EXACT,sprinkler head escutcheon,1,1,1,0.9,0.9,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/6,Escutcheon,USD,White Escutcheon Manual Exact 1/2,SEW10,Amazon,fire sprinkler plates,EXACT,fire sprinkler plates,1,1,1,0.69,0.69,0,,0,0,0,0,0,0,0,0
2025-05-15,2025/5/15,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词长 sprinkler head+,Amazon,sprinkler head guard,EXACT,sprinkler head guard,19,1,0.052631579,1.4,1.4,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/28,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词长 sprinkler head+,Amazon,sprinkler head guard,EXACT,sprinkler head guards,104,8,0.076923077,1.3775,11.02,252.62,4.36%,22.92,6,6,0.75,3,3,117.24,135.38
2025-04-30,2025/5/26,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词长 sprinkler head+,Amazon,sprinkler head protector,EXACT,sprinkler head protector,1288,19,0.014751553,1.535263158,29.17,58.62,49.76%,2.01,2,2,0.105263158,2,0,58.62,0
2025-05-14,2025/5/14,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Word Exact 2,词根词长 sprinkler head+,Amazon,sprinkler head protector,EXACT,sprinkler head protectors,9,1,0.111111111,1.2,1.2,0,,0,0,0,0,0,0,0,0
2025-05-25,2025/5/25,Guard G05R,USD,Guard G05R Automatic,G05R02,Amazon,*,BROAD,b0cr8ls7v4,1,1,1,0.2,0.2,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/4/30,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA2575,Amazon,*,BROAD,b008f6oxp4,1,1,1,0.2,0.2,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/4/30,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA2575,Amazon,*,BROAD,b08tr1n4x6,1,1,1,0.2,0.2,0,,0,0,0,0,0,0,0,0
2025-05-24,2025/5/24,Adapter,USD,Adapter Key Words,BHA2520,Amazon,hose adapter,PHRASE,firefighter equipment hose and adapter,2,1,0.5,0.2,0.2,0,,0,0,0,0,0,0,0,0
2025-05-26,2025/5/26,Adapter,USD,Adapter Key Words,BHA2520,Amazon,fire hydrant fittings,PHRASE,2.5 x 2 fire hydrant fitting,4,1,0.25,0.23,0.23,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/4/30,Adapter,USD,Adapter Keywords BHA2575 BHA1575,BHA2575,Amazon,hydrant to hose adapter,PHRASE,fire hydrant to hose adapter,16,2,0.125,0.54,1.08,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA1575,Amazon,*,BROAD,1 1/2 inch to garden hose adapter,4,1,0.25,0.08,0.08,15.58,0.51%,194.75,1,1,1,1,0,15.58,0
2025-05-18,2025/5/18,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA1575,Amazon,*,BROAD,3/4 ght to 1 1/2 nh,3,2,0.666666667,0.14,0.28,17.99,1.56%,64.25,1,1,0.5,1,0,17.99,0
2025-05-02,2025/5/2,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA1575,Amazon,*,BROAD,3/4 nst to ght,1,1,1,0.14,0.14,0,,0,0,0,0,0,0,0,0
2025-05-28,2025/5/28,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA1575,Amazon,*,BROAD,b09t9w6t42,1,1,1,0.14,0.14,0,,0,0,0,0,0,0,0,0
2025-05-05,2025/5/5,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA1575,Amazon,*,BROAD,happy tree 1 1/2” to 3/4”,1,1,1,0.14,0.14,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/16,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA1575,Amazon,*,BROAD,hydrant coupling 1/2,2,2,1,0.11,0.22,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Adapter,USD,Adapter Auto BHA2575 BHA1575,BHA1575,Amazon,*,BROAD,water adapter for firefighters,3,1,0.333333333,0.08,0.08,0,,0,0,0,0,0,0,0,0
2025-05-04,2025/5/4,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHASW2520,Amazon,*,BROAD,2in npt to 2 1/2 fire female,1,1,1,0.1,0.1,0,,0,0,0,0,0,0,0,0
2025-05-22,2025/5/22,No Portfolio,USD,Fire sprinkler head wrench manual,W03 Exact,Amazon,fire sprinkler head wrench,EXACT,fire sprinkler head wrench,9,1,0.111111111,0.48,0.48,0,,0,0,0,0,0,0,0,0
2025-05-02,2025/5/2,No Portfolio,USD,Fire sprinkler head wrench manual,W03 Exact,Amazon,fire sprinkler tool,EXACT,fire sprinkler tools,8,1,0.125,0.62,0.62,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/7,No Portfolio,USD,Fire sprinkler head wrench manual,W03 Exact,Amazon,fire sprinkler wrench tool,EXACT,fire sprinkler wrench tool,2,1,0.5,0.62,0.62,15.55,3.99%,25.08,1,1,1,0,1,0,15.55
2025-05-21,2025/5/21,Nozzle,USD,Nozzle Brass Manual Exact,大词,Amazon,hose nozzle heavy duty,EXACT,hose nozzle heavy duty,2,1,0.5,0.45,0.45,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2520,Amazon,*,BROAD,b017mokpcy,1,1,1,0.22,0.22,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/16,Adapter,USD,Adapter Key Words,BHASW2520,Amazon,hydrant adapters,EXACT,hydrant adapter,12,1,0.083333333,0.54,0.54,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/25,Adapter,USD,Adapter Key Words,BHASW2520,Amazon,hydrant adapter,EXACT,hydrant adapter,25,2,0.08,0.54,1.08,0,,0,0,0,0,0,0,0,0
2025-05-04,2025/5/24,Adapter,USD,Adapter Key Words,BHASW2520,Amazon,fire hydrant adapter,EXACT,fire hydrant adapter,560,15,0.026785714,0.538,8.07,282.12,2.86%,34.96,1,12,0.066666667,0,12,0,282.12
2025-05-05,2025/5/5,Adapter,USD,Adapter Key Words,BHASW2520,Amazon,fire hydrant adapter,EXACT,fire hydrant adapters,2,1,0.5,0.54,0.54,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/29,Adapter,USD,Adapter Key Words,BHASW2520,Amazon,fire hydrant hose adapter,EXACT,fire hydrant hose adapter,85,4,0.047058824,0.54,2.16,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/21,Adapter,USD,Adapter Key Words,BHASW2520,Amazon,fire hydrant hose adapter,EXACT,fire hydrant to hose adapter,129,4,0.031007752,0.54,2.16,0,,0,0,0,0,0,0,0,0
2025-05-17,2025/5/17,Guard G04C,USD,Guard G04C Auto,G04C06,Amazon,*,BROAD,b08cdzn2kr,1,1,1,0.2,0.2,0,,0,0,0,0,0,0,0,0
